Id,OverallQual,OverallCond,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,BsmtFinSF1,MasVnrArea,BsmtFinSF2,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,FinBsmt,SalePrice,logSalePrice,CentralAir_y,PavedDrive_p,PavedDrive_y
180,5,6,3,2,8,0,1,1,2,3,3,4,0,1,1,5,0,0,0,1,184,1,0,1936,0.0,100000,11.512925464970229,1,0,0
181,6,5,4,2,8,1,1,1,3,4,5,4,3,6,1,5,436,456,0,1,0,2,1,2281,0.5767195767195767,177000,12.083905011555967,1,0,1
182,7,6,3,1,8,1,1,1,2,2,4,3,4,2,1,9,352,0,0,1,40,1,1,2595,0.4438839848675914,200100,12.206572520571825,1,0,1
183,5,6,3,1,8,1,0,2,3,0,5,3,4,0,0,7,0,98,0,1,296,1,0,1340,0.0,120000,11.695247021764184,1,0,1
184,7,5,4,2,5,0,1,1,3,4,5,3,0,1,1,6,0,0,0,1,518,2,1,3444,0.0,200000,12.206072645530174,1,0,0
185,5,8,3,2,8,0,1,1,3,2,4,3,0,1,1,5,0,0,0,1,104,1,0,1756,0.0,127000,11.751942365440728,1,0,1
186,10,9,5,3,8,2,2,1,5,3,5,4,3,1,1,12,0,0,0,1,670,2,1,4715,0.0,475000,13.071070083016778,1,0,1
187,7,5,4,2,8,0,3,1,3,4,5,3,0,6,1,6,611,0,0,1,195,3,0,2405,0.5143097643097643,173000,12.061046873479915,1,0,1
188,5,7,3,1,6,0,1,1,2,2,5,3,0,1,1,8,0,0,0,1,140,2,1,2316,0.0,135000,11.813030057420567,1,0,0
189,5,5,3,2,8,2,3,1,3,4,3,3,3,6,1,6,1086,275,0,2,120,2,2,2310,1.0,153337,11.940393392554734,1,0,1
190,8,5,5,2,8,1,3,3,3,5,5,4,4,6,1,5,1153,0,0,1,344,2,1,3186,0.7237915881983679,286000,12.56374708980199,1,0,1
191,8,8,4,2,4,2,1,1,3,4,3,4,3,3,1,10,297,0,0,1,74,2,1,3580,0.34818288393903873,315000,12.66032791780777,1,0,1
192,7,9,4,2,8,0,1,3,3,3,4,3,0,5,1,7,626,138,0,1,32,2,1,2204,0.863448275862069,184000,12.122691036591123,1,0,1
193,7,5,4,2,8,0,3,3,3,4,5,4,0,6,1,6,560,0,0,1,35,3,0,2862,0.3913347309573725,192000,12.165250651009918,1,0,1
194,7,5,4,2,4,0,1,1,3,4,5,4,0,1,1,7,0,50,0,1,40,2,0,2679,0.0,130000,11.77528972943772,1,0,1
195,5,7,3,1,8,0,3,1,3,3,3,3,0,5,1,5,390,0,0,1,0,1,0,1728,0.45138888888888884,127000,11.751942365440728,1,0,1
196,6,6,3,2,8,1,1,1,3,4,3,3,3,5,1,7,566,0,0,1,87,2,1,2311,0.6619883040935672,148500,11.908340237224891,1,0,1
197,7,5,5,3,8,1,1,3,3,5,5,5,4,6,1,8,1126,205,0,1,575,3,0,3452,0.6523754345307069,311872,12.650348126203179,1,0,1
198,8,4,4,2,8,1,1,1,3,3,4,4,5,6,2,8,1036,0,184,1,568,3,1,4472,0.8970588235294118,235000,12.367340793126296,1,0,1
199,6,6,3,0,8,0,1,0,0,3,5,3,0,1,1,8,0,0,0,1,228,1,0,2984,0.0,104000,11.55214617812351,1,0,1
200,8,5,5,3,8,1,3,3,3,5,5,4,4,6,1,7,1088,262,0,1,196,3,0,3426,0.6351430239346176,274900,12.524162674153336,1,0,1
201,4,5,3,2,8,0,1,2,3,4,5,3,0,1,1,5,0,0,0,1,196,2,0,2242,0.0,140000,11.84939770159144,1,0,1
202,6,6,3,2,8,2,1,1,3,3,3,3,2,5,2,6,641,0,279,1,321,2,1,2475,0.7692307692307692,171500,12.052338545588132,1,0,1
203,6,6,3,1,7,0,1,1,3,2,4,3,0,2,1,6,617,0,0,1,126,2,0,1927,1.0,112000,11.626254150277232,1,0,1
204,6,5,4,2,8,1,3,2,3,4,5,4,4,6,1,3,662,205,0,1,149,2,0,1696,0.7806603773584906,149000,11.911701584927597,1,0,1
205,5,7,3,1,8,0,1,1,3,3,3,3,0,2,1,5,312,0,0,1,35,1,1,2004,0.43333333333333335,110000,11.608235644774552,1,0,1
206,7,5,3,2,8,0,1,2,3,4,5,3,0,1,1,5,0,0,0,1,542,2,0,2866,0.0,180500,12.103486056755072,1,0,1
207,5,5,3,1,6,1,1,2,3,3,3,3,3,1,1,8,0,0,0,1,30,1,1,2836,0.0,143900,11.876873892875459,1,0,1
208,4,5,3,1,8,1,1,2,3,3,3,3,1,5,3,6,419,0,306,1,355,2,0,2200,0.6590909090909092,141000,11.856515169360305,1,0,1
209,7,5,3,2,8,1,4,3,3,4,5,4,4,6,1,7,1065,128,0,1,269,3,1,3219,0.9204840103716508,277000,12.531772785169476,1,0,1
210,6,7,3,2,8,0,1,2,3,4,5,3,0,3,1,6,787,260,0,1,0,2,0,2184,0.7206959706959707,145000,11.884489021402711,1,0,1
211,5,6,3,0,8,0,1,0,0,3,3,3,0,3,1,5,468,0,0,1,96,2,0,1728,0.5416666666666667,98000,11.49272275765271,0,0,1
212,6,5,4,2,8,0,2,2,3,4,5,3,0,6,1,6,36,0,0,1,122,2,0,2424,0.02970297029702973,186000,12.133501952695338,1,0,1
213,7,5,4,2,8,1,1,2,3,4,5,3,3,6,1,7,822,0,0,1,276,3,1,2752,0.9133333333333333,252678,12.439871229831715,1,0,1
214,5,5,3,2,8,0,1,1,3,4,5,3,0,5,1,5,716,0,0,1,224,1,1,1980,0.7232323232323232,156000,11.957611286231675,1,0,1
215,6,7,3,1,8,0,1,3,3,4,5,3,0,6,1,6,378,153,0,1,36,1,1,2081,0.5486211901306242,161750,11.993807212363148,1,0,1
216,5,6,4,1,7,1,1,1,3,3,3,3,2,4,1,6,360,64,0,1,0,1,1,2306,0.33644859813084116,134450,11.80894766169701,1,0,1
217,7,5,4,2,8,0,2,1,3,4,5,4,0,6,1,8,946,266,0,1,237,3,0,2872,0.658774373259053,210000,12.254862809699606,1,0,1
218,4,4,3,1,8,0,1,1,3,3,2,3,0,1,1,8,0,0,0,1,232,1,0,2014,0.0,107000,11.580584113444043,0,0,1
219,7,9,4,2,8,2,1,1,3,3,5,4,3,4,1,8,341,312,0,1,269,1,2,2752,0.4273182957393483,311500,12.649154617209645,1,0,1
220,7,5,4,2,8,0,3,3,3,4,5,4,0,6,1,5,16,16,0,1,108,2,0,2496,0.012820512820512775,167240,12.0271851854705,1,0,1
221,7,5,4,2,8,0,2,2,3,4,5,4,0,1,1,5,0,0,0,1,384,2,0,2996,0.0,204900,12.230277334226992,1,0,1
222,6,5,4,2,8,1,1,2,3,4,5,4,3,1,1,8,0,0,0,1,166,2,1,3277,0.0,200000,12.206072645530174,1,0,1
223,6,6,3,2,8,1,1,2,3,4,3,3,3,5,1,6,550,0,0,1,417,3,1,2265,0.7713884992987378,179900,12.100156419938624,1,0,1
224,4,6,3,2,8,0,1,1,3,3,4,3,0,5,2,4,524,0,180,1,216,1,0,1728,0.8148148148148149,97000,11.48246625748552,1,0,1
225,10,5,5,3,8,1,4,3,3,5,5,5,5,6,1,8,56,922,0,1,353,2,0,4784,0.02341137123745818,386250,12.864240107194092,1,0,1
226,5,5,3,1,8,0,1,1,3,3,3,3,0,1,1,6,0,142,0,1,0,2,1,1932,0.0,112000,11.626254150277232,1,0,1
227,7,5,4,3,8,1,1,2,3,4,5,4,3,6,1,9,565,290,0,1,338,2,1,3723,0.4696591853699086,290000,12.577636201962656,1,0,1
228,6,6,3,1,8,0,1,1,3,3,3,3,0,3,1,5,321,127,0,1,0,1,1,1470,0.6645962732919255,106000,11.571194373094205,1,0,1
229,5,5,3,1,8,1,1,1,3,3,3,3,2,5,1,5,842,0,0,1,0,1,0,1824,0.9232456140350878,125000,11.736069016284437,1,0,1
230,7,5,4,2,8,1,3,3,3,4,5,4,3,6,1,7,16,16,0,1,163,2,0,2928,0.011653313911143437,192500,12.167851432709975,1,0,1
231,6,6,3,1,8,0,1,2,3,3,3,3,0,1,1,6,0,220,0,1,120,2,0,2388,0.0,148000,11.904967552746252,1,0,1
232,8,5,5,3,8,1,1,3,3,4,5,4,3,6,1,9,689,506,0,1,348,3,1,4256,0.47127222982216144,403000,12.90669184092882,1,0,1
233,6,5,3,1,8,1,1,1,3,3,3,3,1,1,1,5,0,297,0,1,0,1,1,1470,0.0,94500,11.456355113481834,1,0,1
234,5,6,3,1,8,0,3,1,3,3,3,3,0,2,5,5,182,0,712,1,365,2,0,1788,1.0,128200,11.761346823468706,1,0,1
235,6,5,4,2,8,2,1,3,3,4,5,4,3,6,1,8,625,0,0,1,336,3,1,2820,0.7267441860465116,216500,12.285345826424681,1,0,1
236,6,3,3,1,8,0,1,1,3,3,3,3,0,5,1,5,358,604,0,1,0,1,1,1470,0.7412008281573499,89500,11.401993904262946,1,0,1
237,7,5,4,2,8,0,3,2,3,4,5,4,0,6,1,6,24,98,0,1,237,2,0,2828,0.016973125884017004,185500,12.130810161029627,1,0,1
238,7,7,4,2,8,0,1,2,3,4,5,4,0,4,1,7,402,0,0,1,678,2,1,2740,0.4036144578313253,194500,12.178187442040638,1,0,1
239,8,5,4,3,8,0,1,3,3,5,5,5,0,1,1,7,0,254,0,1,396,2,0,3388,0.0,318000,12.669806661762314,1,0,1
240,6,4,3,1,8,1,1,1,3,3,3,3,4,2,1,7,94,0,0,1,140,1,1,2222,0.1278911564625851,113000,11.635143097694478,1,0,1
241,8,5,4,2,8,0,3,2,3,4,5,4,0,6,1,7,1078,36,0,1,312,3,0,3132,0.6883780332056194,262500,12.478006361013815,1,0,1
242,5,9,4,0,8,0,1,0,0,3,4,3,0,5,1,4,329,0,0,1,100,1,0,1552,0.47959183673469385,110500,11.612770799939945,1,0,1
243,5,4,3,1,8,0,1,1,2,3,4,3,0,1,1,6,0,0,0,1,77,1,0,1980,0.0,79000,11.27720313144916,0,0,1
244,6,6,3,1,8,1,1,2,3,4,3,3,3,1,1,6,0,0,0,1,28,1,1,1843,0.0,120000,11.695247021764184,1,0,1
245,7,5,4,2,8,2,1,2,3,4,5,4,2,6,1,8,695,0,0,1,130,3,1,3058,0.7331223628691983,205000,12.230765258120545,1,0,1
246,7,5,3,2,8,1,3,3,3,4,4,3,3,6,1,6,929,102,0,1,236,2,1,3717,0.5035230352303524,241500,12.394624752074764,1,0,1
247,6,8,2,1,8,0,1,1,1,2,4,3,0,1,1,9,0,0,0,2,172,2,0,2948,0.0,137000,11.827736204810263,0,0,1
248,6,5,3,2,8,1,1,1,3,3,5,3,3,1,1,5,0,0,0,1,30,1,0,2742,0.0,140000,11.84939770159144,1,0,1
249,7,5,4,2,8,0,1,2,3,4,5,4,0,1,1,8,0,101,0,1,212,2,1,2508,0.0,180000,12.100712129872347,1,0,1
250,6,7,4,2,8,2,4,3,3,4,4,4,3,3,1,7,697,472,0,1,98,2,1,3588,0.4826869806094183,277000,12.531772785169476,1,0,1
251,3,2,2,0,5,0,1,0,0,3,5,3,0,1,1,6,0,0,0,1,263,1,0,2034,0.0,76500,11.245046019814627,1,0,1
252,8,5,4,2,8,1,4,3,3,4,5,4,4,6,1,5,1573,481,0,1,276,3,1,3198,1.0,235000,12.367340793126296,1,0,1
253,6,5,4,2,8,0,1,2,3,4,5,4,0,1,1,6,0,0,0,1,183,2,1,2438,0.0,173000,12.061046873479915,1,0,1
254,6,7,4,1,7,0,4,2,3,4,5,3,0,2,5,7,270,108,580,1,333,2,1,2604,0.65284178187404,158000,11.970350312009105,1,0,1
255,5,6,3,1,8,0,1,2,3,3,3,3,0,3,1,5,922,0,0,1,250,2,0,2628,0.7016742770167428,145000,11.884489021402711,1,0,1
256,7,5,4,2,8,1,1,3,3,4,5,4,3,1,1,8,0,302,0,1,192,2,1,3266,0.0,230000,12.345834587905333,1,0,1
257,6,5,4,2,8,0,1,2,3,4,5,4,0,3,1,7,503,0,0,1,272,2,1,2592,0.5821759259259259,207500,12.24288661865289,1,0,1
258,7,5,4,2,8,1,1,2,3,4,5,4,4,6,1,8,1334,180,0,1,233,3,1,3208,0.8316708229426434,220000,12.301382825334498,1,0,1
259,7,5,4,2,8,1,1,2,3,4,5,4,3,6,1,7,361,172,0,1,341,2,1,2755,0.37487019730010385,231500,12.352335152508426,1,0,1
260,5,5,3,1,8,0,0,1,3,0,4,3,0,0,0,4,0,0,0,1,45,1,0,882,0.0,97000,11.48246625748552,1,0,1
261,6,5,3,2,8,1,4,1,3,3,3,3,3,3,5,6,672,399,690,1,252,2,0,2744,1.0,176000,12.078239274020289,1,0,1
262,8,5,5,3,8,1,1,3,3,5,5,4,4,1,1,10,0,270,0,1,148,2,1,4056,0.0,276000,12.528156144699286,1,0,1
263,6,7,3,2,8,1,3,1,3,4,3,3,3,5,1,6,506,46,0,1,304,2,0,1718,1.0,151000,11.925035115797062,1,0,1
264,5,7,3,2,8,0,1,1,3,3,3,3,0,2,5,6,234,0,692,1,0,2,0,2242,1.0,130000,11.77528972943772,1,0,1
265,5,5,3,2,8,0,1,1,3,2,4,3,0,1,1,4,0,0,0,1,0,1,0,1444,0.0,73000,11.198214720130528,0,0,0
266,6,6,4,2,8,1,1,3,3,4,3,3,3,6,2,7,588,210,228,1,276,2,0,2844,0.5738396624472574,175500,12.075394321888057,1,0,1
267,6,5,3,2,8,1,3,3,3,4,4,3,3,6,1,8,714,0,0,1,170,3,1,2313,0.8902743142144638,185000,12.128111104060462,1,0,1
268,5,8,4,1,8,1,1,1,3,3,5,3,4,2,1,8,378,0,0,1,286,2,1,2912,0.525,179500,12.097930486910471,1,0,1
269,5,6,3,1,8,1,1,3,5,3,5,3,4,5,3,4,403,0,125,1,25,1,0,1518,0.7135135135135136,120500,11.699405031912846,1,0,1
270,6,7,3,1,8,1,1,2,3,3,3,3,2,4,1,6,751,174,0,1,400,2,1,2256,0.6570428696412949,148000,11.904967552746252,1,0,1
271,8,5,4,3,8,1,2,2,3,4,4,4,4,1,1,8,0,0,0,1,243,2,1,3034,0.0,266000,12.491251587763836,1,0,1
272,7,7,3,2,5,2,4,1,3,4,5,3,3,2,6,5,226,0,1063,1,81,2,0,2748,0.9306859205776173,241500,12.394624752074764,1,0,1
273,8,7,4,3,8,1,1,3,3,4,5,4,4,6,1,9,524,348,0,1,189,2,1,3422,0.45486111111111116,290000,12.577636201962656,1,0,1
274,6,6,3,1,7,1,1,2,3,3,4,3,4,3,2,6,620,183,620,1,289,3,0,2872,1.0,139000,11.842229212112828,1,0,1
275,5,7,3,1,8,0,4,1,3,3,3,3,0,5,1,5,546,0,0,1,168,1,0,1632,0.6691176470588236,124500,11.732060994886899,1,0,1
276,7,7,5,2,8,0,1,1,3,3,4,4,0,1,1,5,0,0,0,1,218,2,1,2500,0.0,205000,12.230765258120545,0,0,1
277,7,5,4,2,8,0,1,3,3,5,5,4,0,1,1,7,0,0,0,1,250,2,0,3120,0.0,201000,12.211060187041213,1,0,1
278,4,5,3,2,8,0,1,1,3,3,5,3,0,2,1,4,120,0,0,1,0,1,0,1728,0.13888888888888884,141000,11.856515169360305,1,0,1
279,9,5,5,3,8,1,4,3,3,5,5,5,5,1,1,8,0,315,0,1,364,2,1,4242,0.0,415298,12.936751613811438,1,0,1
280,7,5,3,2,8,1,1,3,3,4,5,3,3,4,1,8,392,299,0,1,405,2,1,3182,0.33793103448275863,192000,12.165250651009918,1,0,1
281,7,6,4,2,8,1,3,3,3,4,4,4,3,6,1,7,421,340,0,1,280,2,1,2789,0.5216852540272614,228500,12.339291489316397,1,0,1
282,6,5,4,2,8,0,1,3,3,4,4,4,0,6,1,5,905,68,0,1,120,2,0,2524,0.7171156893819335,185000,12.128111104060462,1,0,1
283,7,5,4,2,8,1,1,2,3,4,5,4,4,6,1,6,904,166,0,1,234,3,0,2628,0.6879756468797564,207500,12.24288661865289,1,0,1
284,8,5,4,3,8,1,1,3,3,4,5,4,4,1,1,6,0,72,0,1,360,2,0,2936,0.0,244600,12.407379502235209,1,0,1
285,6,5,4,2,8,0,1,2,3,4,4,4,0,6,1,5,430,0,0,1,52,3,0,3150,0.27301587301587305,179200,12.096257779522967,1,0,1
286,7,5,4,2,8,0,1,2,3,4,5,4,0,1,1,5,0,0,0,1,54,2,1,1875,0.0,164700,12.011880916165731,1,0,1
287,6,7,4,2,8,1,1,2,3,3,3,3,4,3,1,7,600,0,0,1,128,1,1,2646,0.6578947368421053,159000,11.976659481202368,1,0,1
288,4,4,3,0,8,0,1,0,0,3,3,3,0,4,1,5,614,0,0,1,0,1,0,1716,0.7156177156177157,88000,11.385092093460344,1,0,1
289,5,5,3,1,8,0,1,1,3,3,3,3,0,4,1,5,450,31,0,1,0,1,0,1782,0.5102040816326531,122000,11.711776323715394,1,0,1
290,6,7,3,1,8,0,1,1,3,3,5,3,0,1,1,7,0,0,0,1,259,1,0,2094,0.0,153575,11.941944326032129,1,0,1
291,8,5,4,2,8,1,3,2,4,4,5,4,4,1,1,8,0,0,0,1,51,2,1,2998,0.0,233230,12.359780370124389,1,0,1
292,5,6,2,0,8,0,1,0,0,3,5,3,0,3,1,9,210,0,0,1,184,3,0,2496,0.2692307692307693,135900,11.819674600139235,0,0,0
293,5,4,3,1,6,1,1,1,3,3,4,3,4,2,1,8,292,0,0,1,160,1,1,2484,0.38020833333333337,131000,11.782952602183288,1,0,1
294,7,7,4,2,8,1,1,3,3,3,2,3,3,5,1,9,795,34,0,1,250,3,1,3058,1.0,235000,12.367340793126296,1,0,1
295,6,5,3,2,8,2,1,3,3,3,3,3,4,6,1,7,1285,238,0,1,110,2,0,3060,0.9074858757062148,167000,12.025749091398891,1,0,1
296,6,6,3,2,8,0,3,1,3,3,3,3,0,6,1,6,819,0,0,1,120,2,0,2006,0.8165503489531406,142500,11.867097278690842,1,0,1
297,5,5,3,1,8,0,1,1,3,3,3,3,0,4,1,6,420,0,0,1,289,1,1,2468,0.46153846153846156,152000,11.931635799828413,1,0,1
298,7,5,4,2,8,1,1,2,3,4,5,4,3,4,1,7,649,1600,0,1,208,2,1,2925,0.6656410256410257,239000,12.384218830913648,1,0,1
299,6,6,3,2,8,1,1,1,3,3,4,4,4,5,3,7,384,365,175,1,224,1,3,2445,0.7962962962962963,175000,12.072541252905651,1,0,1
300,6,8,4,1,8,1,1,1,3,3,5,3,4,1,1,6,0,0,0,1,36,1,1,2244,0.0,158500,11.973509872299472,1,0,1
301,5,5,3,1,8,2,2,1,3,3,3,3,4,4,1,5,841,56,0,1,0,2,0,2501,0.7218884120171674,157000,11.964001084330445,1,0,1
302,8,5,4,2,8,1,1,3,3,4,5,4,3,6,1,9,281,0,0,1,258,2,1,3480,0.27334630350194555,267000,12.495003937382387,1,0,1
303,7,5,4,3,8,1,1,2,3,4,5,4,3,1,1,6,0,150,0,1,549,2,0,3082,0.0,205000,12.230765258120545,1,0,1
304,5,7,3,2,8,0,1,1,3,3,3,3,0,5,1,5,894,0,0,1,256,2,0,1788,1.0,149900,11.917723684090689,1,0,1
305,7,9,4,3,8,1,1,1,3,3,5,3,5,1,1,10,0,0,0,1,302,3,0,4963,0.0,295000,12.594730635321957,1,0,1
306,8,5,4,3,8,0,1,3,3,4,5,4,0,6,1,8,1464,246,0,1,168,3,0,4000,0.732,305900,12.631013530138995,1,0,1
307,7,5,4,3,8,1,1,2,3,4,4,4,3,5,1,8,700,246,0,1,395,3,1,2943,1.0,225000,12.323855681186558,1,0,1
308,6,7,2,0,8,0,1,0,0,3,3,3,0,1,1,6,0,0,0,1,144,1,0,1725,0.0,89500,11.401993904262946,1,0,0
309,4,5,3,2,8,0,1,1,3,3,5,3,0,4,1,4,262,0,0,1,158,1,0,1722,0.30429732868757264,82500,11.320553572322773,1,0,1
310,9,5,5,3,8,3,4,3,3,5,5,4,5,6,1,8,1274,0,0,1,383,3,0,3840,0.6719409282700421,360000,12.793859310432293,1,0,1
311,6,5,4,2,8,1,1,3,3,4,4,3,3,5,1,6,518,112,0,1,253,2,1,2198,0.7431850789096126,165600,12.017330520933296,1,0,1
312,6,6,3,1,8,1,1,1,3,3,5,3,4,5,1,5,680,0,0,1,0,2,0,1944,0.6995884773662551,132000,11.790557201568507,1,0,1
313,5,7,3,2,8,1,2,1,3,4,3,3,4,3,1,5,507,0,0,1,271,2,0,1911,0.639344262295082,119900,11.694413341015606,1,0,1
314,7,5,3,2,8,2,4,2,3,4,3,3,4,5,3,8,1236,0,820,1,0,4,0,4172,0.9625468164794008,375000,12.834681304952548,1,0,1
315,7,7,5,2,8,1,1,1,2,3,5,3,4,2,1,6,16,0,0,1,234,1,2,2369,0.02197802197802201,178000,12.089538829274222,1,0,1
316,7,5,4,2,8,1,1,3,3,4,5,4,4,6,1,6,425,0,0,1,151,3,1,2148,0.5935754189944134,188500,12.146853285870202,1,0,1
317,7,7,5,2,8,1,1,2,3,4,3,4,3,6,1,10,692,278,0,1,483,3,1,3198,0.8189349112426035,260000,12.468436909997665,1,0,1
318,8,5,4,3,8,1,3,2,3,4,5,4,4,1,1,8,0,0,0,1,254,2,1,3047,0.0,270000,12.506177237980511,1,0,1
319,7,5,4,3,8,1,4,2,3,4,5,4,3,6,1,9,987,256,0,1,544,3,1,3993,0.732739420935412,260000,12.468436909997665,1,0,1
320,7,5,3,2,8,2,3,1,3,4,3,3,3,6,1,6,1036,225,0,1,281,3,0,2844,0.7551020408163265,187500,12.141534124392603,1,0,1
321,9,5,4,3,8,0,3,2,3,5,5,3,0,1,1,9,0,370,0,1,394,3,1,3845,0.0,342643,12.7444443677961,1,0,1
322,8,5,4,3,8,1,3,3,3,5,5,4,4,6,1,10,970,388,0,1,338,3,1,3604,0.8538732394366197,354000,12.777052192115912,1,0,1
323,7,5,4,2,8,1,4,3,3,3,5,4,3,2,5,8,28,172,1474,1,297,3,1,4232,1.0,301000,12.614865543731012,1,0,1
324,3,8,3,1,8,0,1,1,2,3,5,3,0,5,1,6,256,0,0,1,240,2,0,2325,0.22030981067125643,126175,11.745425111208464,1,0,1
325,7,7,4,2,8,1,1,3,3,4,5,4,4,1,1,11,0,300,0,1,240,2,1,3688,0.0,242000,12.396693005138824,1,0,1
326,5,6,3,2,8,0,3,1,3,3,1,3,0,4,1,5,116,0,0,1,244,1,0,1523,0.1611111111111111,87000,11.37366339763672,0,0,1
327,8,5,4,2,8,2,4,3,3,4,5,4,4,6,1,6,1619,0,0,1,152,3,1,3438,0.941826643397324,324000,12.688498794774466,1,0,1
328,6,5,3,1,8,0,1,2,3,3,3,3,0,3,1,7,565,175,0,1,45,1,1,2766,0.40853217642805495,145250,11.886211674714158,1,0,1
329,6,6,4,2,8,0,1,1,3,3,4,3,0,1,1,10,0,0,0,1,328,2,0,2978,0.0,214500,12.27606501735021,0,0,1
330,5,5,3,1,8,0,2,1,2,3,3,3,0,1,1,6,0,0,0,1,137,1,0,1788,0.0,78000,11.26446410567173,0,0,0
331,5,4,3,1,8,0,1,1,3,3,3,3,0,6,3,10,40,84,264,2,155,2,1,3456,0.17592592592592593,119000,11.686878772093667,1,0,1
332,5,6,3,1,8,0,1,2,3,3,2,3,0,3,1,6,846,0,0,1,0,2,0,2112,0.8011363636363636,139000,11.842229212112828,1,0,1
333,8,5,4,3,8,1,1,2,3,4,5,4,4,6,0,7,1124,296,479,1,0,3,0,4835,0.5,284000,12.556729517143344,1,0,1
334,7,5,4,2,8,1,3,2,3,4,5,4,4,6,1,6,720,146,0,1,222,3,0,2716,0.5301914580265096,207000,12.240474072247506,1,0,1
335,6,5,3,2,8,2,4,3,3,4,4,3,3,6,1,7,828,0,0,1,138,3,1,2581,0.8780487804878049,192000,12.165250651009918,1,0,1
336,5,6,3,2,8,2,4,3,3,3,5,3,4,5,4,7,1249,0,147,1,670,4,0,3285,0.9312875250166778,228950,12.341258918085241,1,0,1
337,9,5,4,3,8,1,4,3,3,5,5,4,4,6,1,8,1249,200,0,1,229,3,0,3844,0.649843912591051,377426,12.841129801965447,1,0,1
338,7,5,4,2,8,0,3,2,3,4,5,4,0,6,1,7,810,113,0,1,266,3,0,3072,0.52734375,214000,12.273731294003989,1,0,1
339,7,7,4,2,8,0,2,2,3,4,5,4,0,5,1,8,213,0,0,1,153,3,0,2829,0.17632450331125826,202500,12.218495165528731,1,0,1
340,6,7,3,1,8,0,1,1,3,3,3,3,0,3,1,6,585,176,0,1,234,1,0,2430,0.4814814814814815,155000,11.951180395901384,1,0,1
341,8,5,4,2,8,0,1,3,3,4,5,4,0,1,1,9,0,0,0,1,135,2,1,2875,0.0,202900,12.220468525813907,1,0,1
342,4,4,3,1,8,0,1,1,3,3,4,2,0,1,1,4,0,0,0,1,274,1,0,1562,0.0,82000,11.314474526246391,1,0,0
343,3,4,3,2,8,0,0,1,3,0,2,3,0,0,0,6,0,340,0,2,0,2,0,1040,0.0,87500,11.379394072345706,0,0,1
344,9,5,5,2,8,1,1,2,3,5,5,5,5,6,1,6,28,616,0,1,567,2,0,3368,0.016627078384798155,266000,12.491251587763836,1,0,1
345,5,3,3,1,8,0,1,1,3,4,3,3,0,3,4,4,129,0,232,1,182,1,1,1648,0.6735074626865671,85000,11.350406535472453,1,0,1
346,6,5,2,1,8,1,1,1,3,3,4,3,4,1,1,6,0,0,0,1,0,1,0,2549,0.0,140200,11.850825253582627,1,0,1
347,6,8,3,1,8,0,2,2,3,3,3,3,0,4,1,5,498,0,0,1,0,1,0,1916,0.5198329853862214,151500,11.928340903931561,1,0,1
348,6,5,3,2,8,2,1,1,3,3,5,3,4,4,1,6,1270,30,0,1,40,3,0,2956,0.8592692828146143,157500,11.967180737247824,1,0,1
349,7,5,4,2,8,0,1,2,3,4,5,4,0,6,1,6,573,106,0,1,27,3,1,2390,0.75,154000,11.944707881395766,1,0,1
350,9,5,5,3,8,2,1,3,3,5,5,5,5,6,1,10,1410,870,0,1,0,3,1,4576,0.762987012987013,437154,12.988040814744458,1,0,1
351,9,5,5,2,8,1,1,2,3,5,5,5,4,1,1,6,0,362,0,1,264,2,0,3738,0.0,318061,12.669998467265833,1,0,1
352,7,5,4,2,8,1,4,2,3,4,4,3,3,6,1,6,1082,0,0,1,264,2,1,2906,0.7446662078458361,190000,12.154779351142624,1,0,1
353,5,6,3,1,8,0,2,1,3,3,3,3,0,2,3,5,236,0,380,1,48,1,1,1727,1.0,95000,11.461632170582678,0,0,1
354,6,8,3,2,8,0,1,1,3,3,4,3,0,1,1,5,0,0,0,1,106,1,0,1344,0.0,105900,11.570250531589497,1,0,1
355,6,5,3,1,8,2,1,1,3,3,5,3,4,2,1,6,388,0,0,1,108,1,0,2535,0.41276595744680855,140000,11.84939770159144,1,0,1
356,6,5,4,2,8,0,1,2,3,4,5,4,0,5,4,6,334,0,544,1,26,3,0,2400,0.7316666666666667,177500,12.086725887897607,1,0,1
357,6,6,4,2,8,0,1,2,3,4,4,3,0,6,1,6,560,106,0,1,146,3,0,2325,0.4835924006908463,173000,12.061046873479915,1,0,1
358,5,5,3,2,8,1,1,3,3,4,3,3,1,5,1,6,874,0,0,1,626,2,1,2284,0.7653239929947461,134000,11.805595078933049,1,0,1
359,5,4,4,1,6,0,3,1,3,3,5,3,0,4,3,6,300,120,294,1,462,1,1,2414,0.5593220338983051,130000,11.77528972943772,1,0,1
360,8,5,4,2,8,1,3,2,3,4,5,4,3,6,1,7,956,530,0,1,657,3,1,3010,0.8802946593001841,280000,12.542544882151386,1,0,1
361,6,6,3,2,8,1,3,2,3,4,5,3,3,6,1,5,773,0,0,1,192,2,0,1800,0.8704954954954955,156000,11.957611286231675,1,0,1
362,5,5,3,1,8,0,1,1,3,3,4,3,0,3,1,8,399,0,0,1,0,2,0,2388,0.45186862967157415,145000,11.884489021402711,1,0,0
